"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"130","                Compensation of employees",34.7,36.8,38.8,40.3,38.9,38.7,38.9,39.3,40.4,41.0,40.6,40.0,34.5,36.1,37.7,39.0,40.0,42.1,43.6,44.9
"131","                Taxes on production and imports less subsidies",1.2,1.3,1.4,1.4,1.3,1.3,1.4,1.5,1.4,1.5,1.5,1.7,1.4,1.4,1.8,1.5,1.9,1.8,1.8,1.7
"132","                Gross operating surplus",21.7,23.7,25.9,23.8,23.4,23.0,22.5,23.1,21.2,21.5,21.2,14.4,24.5,24.3,23.6,27.1,27.2,23.3,32.9,33.2
"133","    Wholesale trade",527.5,563.7,584.2,622.5,613.7,613.1,641.4,697.1,754.7,811.4,858.2,884.8,833.8,890.0,937.1,1000.3,1042.2,1089.6,1143.6,1135.8
"134","        Compensation of employees",266.1,289.0,302.3,327.9,330.2,329.1,337.1,357.3,379.4,404.6,429.3,435.7,405.1,412.3,436.2,457.7,467.6,489.9,509.8,511.0
"135","        Taxes on production and imports less subsidies",123.0,128.1,132.5,136.2,133.6,135.4,141.3,150.9,161.9,171.5,172.5,171.8,158.0,170.2,184.9,192.4,202.2,207.7,210.3,212.9
"136","        Gross operating surplus",138.4,146.6,149.4,158.4,149.9,148.6,163.0,188.8,213.4,235.4,256.5,277.4,270.7,307.5,316.0,350.2,372.4,392.0,423.5,411.9
"137","    Retail trade",579.9,626.9,652.8,685.4,709.4,732.6,769.5,795.5,840.6,869.8,869.4,848.8,827.3,852.1,873.1,910.0,950.6,975.1,1020.3,1053.0
"138","        Compensation of employees",339.0,362.7,380.6,405.7,416.7,428.5,444.8,459.4,477.7,492.2,506.4,500.9,474.3,478.9,495.7,510.1,526.7,545.5,573.6,587.7
"139","        Taxes on production and imports less subsidies",106.2,112.0,119.8,126.8,133.7,136.4,144.7,155.3,168.2,178.9,180.9,178.4,165.8,178.2,187.0,194.4,205.1,213.8,216.7,222.6
